pair1,pair2,time,dist,trackstart,trackstop
Ada,Bubbles,2022-06-09 11:00:18,187.2090405,2022-04-29 12:00:22,2022-09-25 16:00:29
Ada,Chandler,2022-08-18T02:00:27Z,79.5006504,2022-04-26 22:00:54,2022-09-25 16:00:21
Ada,Elaine,2021-08-14 14:00:09,406.6658016,2021-05-01 16:02:10,2021-10-26 16:00:17
Ada,EVGF84,2022-08-22 15:00:38,150.8891705,2022-04-28 14:01:03,2022-09-25 17:00:38
Ada,Finn,2020-09-28 20:00:16,152.2113084,2020-09-24 22:00:18,2020-10-21 10:00:12
Ada,Kathy,2020-10-12 16:00:21,433.7630197,2020-09-26 22:00:19,2020-10-21 10:00:12
Ada,Patty,2022-05-08 12:00:38,467.9906439,2022-04-28 14:01:03,2022-09-25 16:00:29
Amelie,Caleb,2020-05-29 14:00:22,76.79064964,2020-04-16 12:01:00,2020-09-29 16:00:29
Amelie,Cali,2020-06-22 22:01:00,139.2369103,2020-04-17 2:01:00,2020-10-20 16:00:00
Amelie,Polly,2020-08-07 10:00:00,124.451133,2020-04-30 12:00:00,2020-10-20 16:00:00
Amelie,Willow,2021-07-30T18:00:00Z,62.5424372,2021-04-01 12:00:00,2021-08-23 16:00:00
Arthur,Melissa,2021-06-15 14:00:37,172.5886258,2021-04-15 0:00:54,2021-07-21 16:00:41
Arthur,Polly,2020-08-25 12:00:00,420.5213248,2020-04-21 12:00:00,2020-09-30 22:00:35
Bailey,Sam,2018-06-13 12:00:00,7.5146278,2018-05-08 0:00:00,2018-08-24 12:00:00
Basil,Casey,2017-10-24 18:01:00,186.8175271,2017-09-21 6:00:00,2017-10-31 12:01:00
Basil,Kenny,2017-11-17 6:00:00,38.83617748,2017-09-21 6:00:00,2017-12-10 6:00:00
Basil,Phoebe,2017-10-20 18:01:00,109.5744127,2017-09-21 6:00:00,2017-10-31 12:01:00
Brittney,Casey,2018-08-16 0:00:00,39.2355139,2018-04-25 0:00:00,2018-10-29 18:01:00
Brittney,Casey,2017-10-16 12:00:00,375.7287331,2017-09-13 6:00:00,2017-11-03 7:00:00
Brittney,Casey,2019-04-21 18:01:00,412.4844728,2019-04-04 0:01:00,2019-05-19 12:01:00
Brittney,Chandler,2021-11-01 11:00:35,263.2393302,2021-04-15 0:00:37,2021-11-15 23:00:52
