pair1,pair2,time,dist,trackstart,trackstop
Bubbles,Kim,2021-10-06T07:00:21Z,9.71612711,2021-09-28 1:00:44,2021-11-28 8:00:46
Bubbles,Kim,2022-07-19 11:00:37,26.757821,2022-04-21 11:00:44,2022-09-25 17:00:30
Bubbles,Gums,2019-09-26T02:00:00Z,15.7605848,2019-09-18 0:00:00,2019-11-30 23:40:00
Caleb,Cali,2019-10-07T20:00:00Z,19.0616594,2019-09-17 22:01:02,2019-11-30 6:01:00
Dan,EVGF84,2022-06-06T09:00:33Z,21.2302298,2022-04-24 23:04:08,2022-09-25 17:00:16
Phoebe,Trish,2017-10-11T00:00:00Z,21.3768274,2017-09-21 6:01:00,2017-11-06 6:00:00
Brittney,Sue,2018-09-18T00:01:00Z,24.1493763,2018-04-09 12:00:00,2018-12-01 6:00:00
Chandler,Rachel,2021-06-05 2:00:38,8.617112687,2021-04-03 0:00:35,2021-11-19 23:01:18
Esme,Stu,2022-06-15 21:00:36,12.0346063,2022-04-18 15:02:30,2022-09-25 17:00:20
Laura,Olson,2017-05-25 6:00:00,9.073547637,2017-05-20 0:00:00,2017-09-09 13:42:00
Polly,Tim,2020-11-04T01:00:00Z,27.0000596,2020-09-28 6:00:00,2020-11-16 13:00:00
Chandler,Monica,2018-10-18T06:00:00Z,28.5404631,2018-09-24 0:00:00,2018-12-15 6:01:00
Bubbles,Patty,2022-05-11T21:00:44Z,32.037244,2022-04-16 9:00:37,2022-09-25 11:00:44
Gums,Monica,2019-09-26T00:00:00Z,44.4743279,2019-09-18 0:00:00,2019-11-13 23:00:00
Bailey,Melissa,2018-06-03 2:00:00,41.63543337,2018-04-02 12:01:00,2018-11-02 7:01:00
Basil,Kenny,2017-11-17 6:00:00,38.83617748,2017-09-21 6:00:00,2017-12-10 6:00:00
Dan,Esme,2021-10-17 11:00:38,47.29081211,2021-09-21 23:00:12,2021-11-18 0:00:59
Finn,Rachel,2021-06-01 22:00:38,35.20693065,2021-04-15 14:03:54,2021-09-25 16:00:38
Chandler,Stu,2020-10-03T06:00:00Z,60.7855828,2020-09-28 22:00:00,2020-12-23 4:10:00
Amelie,Willow,2021-07-30T18:00:00Z,62.5424372,2021-04-01 12:00:00,2021-08-23 16:00:00
Gums,Olson,2018-10-19T06:00:00Z,74.4011061,2018-05-07 0:00:00,2018-11-21 6:01:00
Ada,Elaine,2021-08-17 0:00:25,51.55844899,2021-04-16 14:02:36,2021-12-03 23:01:09
Chandler,Olson,2018-10-19T06:00:00Z,79.300835,2018-09-24 0:00:00,2019-01-17 16:33:00
Ada,Chandler,2022-08-18T02:00:27Z,79.5006504,2022-04-26 22:00:54,2022-09-25 16:00:21
Monica,Olson,2018-10-18T18:00:00Z,88.2545997,2018-09-23 0:00:00,2018-11-21 6:01:00
Jerry,Monica,2018-10-15T18:00:00Z,88.3239226,2018-09-23 0:00:00,2018-11-19 11:00:00
Chandler,Kathy,2021-05-21T00:00:22Z,91.1225757,2021-04-15 0:00:37,2021-09-15 6:00:58
Chandler,Gums,2018-10-18T06:00:00Z,92.7785357,2018-09-24 0:00:00,2018-10-23 12:00:00
Amelie,Caleb,2020-05-29 14:00:22,76.79064964,2020-04-16 12:01:00,2020-09-29 16:00:29
