bear#1,bear#2,time,low,est,high,sex,season_breeding,timestart,timestop,pair1_ess_before,pair2_ess_before,pair1_ess_after,pair2_ess_after
EVGF107,EVGF92,2022-06-09 11:00:18,40.79777592,187.2090405,387.6470729,F_F,breeding,2022-04-29 12:00:22,2022-09-25 16:00:29,5.630517720813973,9.593162006550443,13.217363165489122,36.16659006759021
EVGF107,EVGM86,2022-08-18 2:00:27,77.143937,79.50065035,81.87472158,F_M,other,2022-04-26 22:00:54,2022-09-25 16:00:21,17.971198009941617,4.590138540478063,2.691340766642226,6.324867625301897
EVGF107,EVGF96,2021-08-17 0:00:25,50.01589605,51.55844899,53.11246935,F_F,other,2021-05-01 16:02:10,2021-10-26 16:00:17,9.96901364391644,37.61702522247199,24.69561117012574,7.002773502166937
EVGF107,EVGF84,2022-08-22 15:00:38,26.77070714,150.8891705,327.8806554,F_F,other,2022-04-28 14:01:03,2022-09-25 17:00:38,18.636982859987317,18.515032665969844,2.538529015802949,11.772144787318236
EVGF107,EVGF115,2022-05-08 12:00:38,185.9441971,467.9906439,810.4974183,F_F,other,2022-04-28 14:01:03,2022-09-25 16:00:29,3.2542245001280454,1.7421976179689336,18.808164615784616,41.97814544374228
EVGF95,EVGM98,2020-05-29 14:00:22,73.73499318,76.79064964,79.8766008,F_M,other,2020-04-16 12:01:00,2020-09-29 16:00:29,3.744581293362038,2.62477688753055,20.023307642404795,5.741802598808502
EVGF95,EVGF82,2020-06-22 22:01:00,130.9601465,139.2369103,147.6369531,F_F,breeding,2020-04-17 2:01:00,2020-10-20 16:00:00,9.150267572623616,11.038091234626489,15.960716442314745,5.969314054072198
EVGF95,EVGF66,2021-06-29 8:00:00,149.164894,162.3939933,175.8949497,F_F,breeding,2021-04-21 14:00:00,2021-08-23 16:00:00,18.873271591190427,23.681209415259413,5.7051711656285775,11.80039835648357
EVGF95,EVGF102,2020-08-07 10:00:00,124.451133,124.451133,124.451133,F_F,other,2020-04-30 12:00:00,2020-10-20 16:00:00,10.777729191850606,3.952122007550926,13.363115856414884,6.272043682425747
EVGF95,EVGF97,2021-07-30 18:00:00,62.54243723,62.54243723,62.54243723,F_F,breeding,2021-04-01 12:00:00,2021-08-23 16:00:00,12.386018739887662,1.7738178367141777,33.27752142544582,2.3088246298106614
EVGM100,EVGF57,2020-08-03 0:00:00,129.4398259,129.4398259,129.4398259,F_M,other,2020-04-30 18:00:00,2020-11-15 23:01:00,6.602414607044871,19.84031855751197,4.388873822449583,23.737700387324715
EVGM100,EVGF73,2021-07-14 4:00:38,122.3716131,122.3716131,122.3716131,F_M,breeding,2021-04-15 0:00:54,2021-07-21 16:00:41,6.656591503247117,8.839868692584352,1.5304548594303666,14.912333976603897
EVGF60,EVGM78,2018-06-13 12:00:00,7.514627751,7.514627751,7.514627751,F_M,breeding,2018-05-08 0:00:00,2018-08-24 12:00:00,10.234054653183268,9.967652116758842,21.803189333508136,7.051390580907529
EVGM71,EVGF68,2017-10-24 18:00:00,117.4753934,186.8175271,263.604808,F_M,hunting,2017-09-21 6:00:00,2017-10-31 12:01:00,12.600334739809783,10.960481485585936,6.945231055723768,5.270098425435713
