bear#1,bear#2,time,sex,season_breeding,uds_ind1_low,uds_ind1_mean,uds_ind1_high,uds_ind2_low,uds_ind2_mean,uds_ind2_high,ind1_ess_before,ind1_ess_after,ind2_ess_before,ind2_ess_after
EVGF107,EVGM86,2022-08-18 2:00:27,F_M,other,0.5742757022872133,0.939737704855944,0.9999999999998248,0.4705332124235573,0.800748476403002,0.9901648436458648,17.971220219293894,2.6840138034686984,4.579813283634701,6.3248782520309295
EVGF107,EVGF96,2021-08-17 0:00:25,F_F,other,0.26130324260461957,0.5023070101383844,0.7777249612147272,0.33948202935124844,0.5495198245239521,0.772583409993104,9.969094697451707,24.695605800340168,37.61702913728671,7.002773441925475
EVGF95,EVGM98,2020-05-29 14:00:22,F_M,other,0.6016507822660168,0.9331982459953592,0.9999999932668088,0.7648936522478053,0.979575585105804,1,3.74387305114173,20.02329764656824,2.612783365622054,5.741808145231071
EVGF95,EVGF97,2021-07-30 18:00:00,F_F,breeding,0.16737047841978817,0.35710688811864705,0.6193830521914212,0.2290872556934402,0.868344707835538,1,12.386010277954863,33.27752284012954,1.7738459840296612,2.3088244528532393
EVGF60,EVGM78,2018-06-13 12:00:00,F_M,breeding,0.955872308363068,0.9960651162296554,1,0.35152795104759965,0.7082124587096646,0.9718340748806492,10.234053330740622,21.803182712661695,9.967650944265523,7.051386696924484
EVGM71,EVGM44,2017-11-17 6:00:00,M_M,hunting,0.6387361665617758,0.8359846454138377,0.9679778388835636,0.25800662851331574,0.8883442376480253,1,22.95591419941084,6.273704430468375,55.84201528813517,1.7718380561511229
EVGF57,EVGF68,2018-08-16 0:00:00,F_F,other,0.7237225158518042,0.9500641744407836,0.9999994054018236,0.9293161785552227,0.9746460992397532,0.9972005879282644,30.34787430078529,10.162506426275089,44.71151482583433,24.29162662231401
EVGF57,EVGF45,2018-09-18 0:01:00,F_F,hunting,0.5662435691554885,0.8248886850688422,0.9821648283336172,0.2708483094377648,0.49525227800377336,0.7522299943674711,36.93732123824653,10.523107729984378,15.357041049775273,14.43711054598336
EVGF92,EVGM77,2019-09-26 2:00:00,F_M,hunting,0.8927602728381081,0.9850903789994466,0.9999999995104638,0.25452524944922544,0.7102022820995759,0.9954735667335022,12.252894619122198,63.59416867958073,1.9031311294600064,7.065906017449338
EVGF92,EVGF116,2021-10-06 7:00:21,F_F,hunting,0.7027891583072731,0.945569187903535,0.999999322456134,0.2542086507898681,0.9623374623128782,1,7.761501479702563,25.890103838089203,1.570135408319263,6.332531177541849
EVGF92,EVGF116,2022-07-19 11:00:37,F_F,breeding,0.8548803940482611,0.9728024153156508,0.9999966885267116,0.7868052413387673,0.9763393628232152,1,18.416506544064134,36.91194842253122,7.232754281287931,22.32054102589849
EVGF92,EVGF115,2022-05-11 21:00:44,F_F,other,0.5896725461938556,0.9247240044986884,0.9999998589199433,0.4953159974703655,0.9307259119516954,1,3.3699628678674327,49.44868509618119,1.877056003888336,44.37193222917873
EVGM98,EVGF82,2019-10-07 20:00:00,F_M,hunting,0.8333095775835702,0.995566633261672,1,0.2592847162716769,0.7328509715013549,0.998135693085785,4.436432646062915,4.605133556735063,2.5420184683300975,5.878589882344111
EVGM98,EVGF97,2020-09-13 22:00:00,F_M,hunting,0.43655084776410136,0.9159842068569284,0.999999999999998,0.4249220933425787,0.8364943018031495,0.9996643202526608,5.361826589215411,3.49424514496992,26.26809199150121,4.048016268900347
EVGF82,EVGM89,2018-10-16 6:00:00,F_M,hunting,0.4881729473940797,0.8097969849866347,0.990764951047446,0.9433482292803868,0.9994985537682072,1,6.0599701439305695,5.012882301317231,6.555602788637278,13.60098800981698
EVGM86,EVGF109,2020-10-03 8:00:19,F_M,hunting,0.4574495455851291,0.8535805533767004,0.9998021379761928,0.31664393890313436,0.759879834660454,0.9976245727862112,5.4192835741813274,13.305749780099283,3.415144294410522,11.737921699843945
EVGM86,EVGF109,2021-08-24 20:01:00,F_M,other,0.31003958377536966,0.5713112977878195,0.8415720961048578,0.7733689000678834,0.9178662702501648,0.9925613191018628,6.361645895140563,26.11713924392171,29.314471797316447,53.52989376345873
EVGM86,EVGM106,2021-07-01 12:00:25,M_M,breeding,0.7037969691243826,0.9689306501508598,1,0.5516632566136509,0.7991358044162103,0.967544397507872,3.6400172350617326,5.363106661674336,14.76933953211247,22.572608013628297
EVGM86,EVGM77,2018-10-18 6:00:00,M_M,hunting,0.7861774732492899,0.9983991386469556,1,0.17474756662489638,0.4592965516411059,0.8195132539838805,2.741257460165746,1.4113532107759903,2.8207955592232685,3.7992612387726945
EVGM86,EVGF66,2021-05-21 0:00:12,F_M,other,0.488339430108468,0.9067818008411572,0.9999999891863376,0.8564227382799731,0.9934424585662645,1,1.777450077855709,8.036297539478566,3.1467678863596635,56.004674795335234
EVGM86,EVGF85,2018-10-18 6:00:00,F_M,hunting,0.4401154741976599,0.9600952780775092,1,0.5892030853843238,0.8081321972975797,0.9610557669645192,2.7412577037875177,1.5320385358818114,45.89270426772459,21.960928071608684
EVGM86,EVGM52,2018-10-19 6:00:00,M_M,hunting,0.3570354353035423,0.9166263275607311,1,0.8323725749539331,0.9807646831698592,0.9999999999999996,2.8378530725634157,1.7171087969060874,8.79174367944912,21.14899911892616
EVGM86,EVGF91,2021-06-05 2:00:38,F_M,breeding,0.6081716493812572,0.9494459045536702,0.9999999999999998,0.7876924644005114,0.9763570736555974,1,2.3498610876027084,10.52573627627278,6.605397982310683,37.50387745312714
EVGM86,EVGM110,2020-10-03 6:00:00,M_M,hunting,0.2878047749912666,0.788122096455869,0.9998740429762067,0.16117991206939,0.7375458829790962,0.9999879425433178,3.918122954480707,27.16307226159455,2.325088478533679,22.963217034871036
EVGM113,EVGF109,2021-10-17 11:00:38,F_M,hunting,0.26123658237382064,0.8568331136292274,0.999999999997072,0.6983604696095271,0.8407832344986165,0.9466299978627878,7.576634132026807,2.4356125746115436,24.363611159523355,24.867606900591355
EVGM113,EVGF84,2022-06-06 9:00:33,F_M,breeding,0.2564743097822329,0.6582814197543846,0.9765017127850087,0.29072089557222675,0.546127696895251,0.8205089139282212,4.373593108095919,7.739435794381924,8.630559677078823,31.594206411108303
EVGF70,EVGF66,2017-10-13 12:00:00,F_F,hunting,0.9353685862084212,0.9900110097279446,0.9999999725332172,0.8455532900181002,0.992057307048216,1,18.820695271194648,10.951590684038884,3.3500640061760114,6.019537396195894
EVGF109,EVGM110,2022-06-15 21:00:36,F_M,breeding,0.6270028258318318,0.7548120264567458,0.8673463494752753,0.7415850357875899,0.9591699216453238,0.99999998991643,46.96576494637907,64.00533251796404,9.348917967369228,16.66947982685764
EVGM106,EVGF91,2021-06-01 22:00:38,F_M,breeding,0.47405289167125875,0.8191335705898046,0.995464602332473,0.727481725114527,0.948322349287131,0.9999979032732936,4.2153000578433675,28.073431612045844,8.573203582020685,27.004325188670677
EVGM77,EVGF85,2018-10-19 0:00:00,F_M,hunting,0.1542910104455582,0.3413091664320545,0.6073643130795595,0.5211469819428249,0.6457259611624029,0.7669488146281275,3.175601802251548,6.701163966078544,50.61094501771274,16.00000000000003
EVGM77,EVGF85,2019-09-26 0:00:00,F_M,hunting,0.2929618349665239,0.7656362577429497,0.9991527955375622,0.8480077367730618,0.9592127291505216,0.9993985253192044,2.5071672621042462,6.394579897855368,17.041382220556187,83.2119485313085
EVGM77,EVGM52,2018-10-19 6:00:00,M_M,hunting,0.11343712681148836,0.22123648764001563,0.38225464880269255,0.6794459414855728,0.8268687440930165,0.9390611567386932,5.973641035829566,7.557842028190884,19.049552948541606,34.84369474230606
EVGM76,EVGF85,2018-10-15 18:00:00,F_M,hunting,0.27356707102882705,0.8869458840087614,1,0.6949612039841531,0.8460655619679676,0.954665545996622,16.51268219118393,1.6744850433740963,41.34370320926598,22.91545934008644
EVGM76,EVGM52,2018-10-17 6:00:00,M_M,hunting,0.6075987811105362,0.946672261351884,0.999999999999964,0.6049359171023329,0.7546228040398362,0.8834125902231071,13.018396041352464,2.4329025361558574,18.235242500940576,44.502505672851925
EVGM90,EVGF73,2018-10-23 18:00:00,F_M,hunting,0.410235596850719,0.5794247451848338,0.7525718924390059,0.6523523297180741,0.8929929344526402,0.9975915912696316,13.048115807425942,13.299331669402344,11.590887801565328,8.805843424210941
EVGF66,EVGF67,2017-09-16 0:00:00,F_M,hunting,0.34881080947458143,0.7619454196875628,0.9952992901820568,0.17037551754192456,0.30774979482063597,0.4935347793296701,2.1910467024628852,13.817862861654651,6.843346087698328,5.468366477235615
EVGF66,EVGF91,2021-06-12 16:00:22,F_F,breeding,0.935107274936428,0.9944183758663472,1,0.7354135145585498,0.9328166926498624,0.9996533116102376,13.333905094235488,44.542411785037366,14.35239060082108,20.532948653583823
EVGF66,EVGF97,2020-10-04 20:00:50,F_F,hunting,0.5760030597507191,0.9477637311133672,1,0.295132310471322,0.8755748080772143,0.999999999999962,2.233418005247474,13.832943004373456,2.338162754386861,28.362005945821984
EVGM44,EVGF73,2017-10-25 6:00:00,F_M,hunting,0.5507424438463487,0.753373078260547,0.917836508755901,0.7564506427714286,0.9762946850768672,1,43.37019590515509,10.236527606896964,6.179691632075404,3.608490465036718
EVGF56,EVGM52,2017-05-25 6:00:00,F_M,other,0.5395567675606686,0.9779205517554844,1,0.6913331592399318,0.9409184691293816,0.9999981161156386,1.2508274117039495,17.913435709078378,2.45976223843676,36.25215596897188
EVGF85,EVGM52,2018-10-18 18:00:00,F_M,hunting,0.6928073506622676,0.8674151054259415,0.9770700924674146,0.7858703955672037,0.9549075010245978,0.9999749467725964,50.070340033100294,17.334401973148143,8.562873375991801,35.10904413739868
EVGM52,EVGF64,2018-06-20 0:00:00,F_M,breeding,0.2254475943467343,0.6127670991908106,0.9609620388524006,0.9318569747981638,0.9977113920944408,1,4.363241723120866,1.5171440567196,13.790928682105232,5.726801893227163
EVGF72,EVGF64,2017-10-11 0:00:00,F_F,hunting,0.6572822452906173,0.901002536428559,0.9986978387923016,0.7709899454576379,0.9530563212828368,0.9999854745405832,5.77244067250843,9.984567305942331,9.828221121829188,19.246800241910467
EVGF102,EVGM80,2020-11-04 1:00:00,F_M,hunting,0.4392479502496503,0.8974684717288303,0.9999999973870148,0.8423310738502539,0.9918845211071564,1,18.376700293870076,2.287015481334559,11.358956726347545,3.674031206301545
