pair1,pair2,time,uds_before_low,uds_before_mean,uds_before_high,uds_after_low,uds_after_mean,uds_after_high
Ada,Chandler,2022-08-18T02:00:27Z,0.23100609962271296,0.428616030601664,0.6724021869855074,0.2658998504283367,0.858244858095062,0.9999999999965612
Amelie,Caleb,2020-05-29 14:00:22,0.4351913300767361,0.8443903726146865,0.999775468346157,0.4162667001257361,0.7188479628568583,0.9527338695439116
Amelie,Willow,2021-07-30T18:00:00Z,0.30866439266579015,0.8748476508240962,0.9999999999988866,0.3129505075968448,0.805911562707065,0.9999292804277948
Bailey,Sam,2018-06-13 12:00:00,0.3930218815072417,0.7300413501878866,0.9716236173159464,0.26135837484279634,0.5648257928374681,0.8804214352490342
Basil,Kenny,2017-11-17 6:00:00,0.4403721018397554,0.5677838285626635,0.6987151577974576,0.3160277736775531,0.758298135029732,0.997467772008436
Brittney,Casey,2018-08-16 0:00:00,0.537009611195854,0.709413100101589,0.8634088902441471,0.5937252449243593,0.7619089542852899,0.9020947437237266
Brittney,Sue,2018-09-18T00:01:00Z,0.5173114514508627,0.8349160153640565,0.9951087179988723,0.19374511808135508,0.4175627387399056,0.7077379086238662
Bubbles,Gums,2019-09-26T02:00:00Z,0.1260046154816851,0.8883369855306524,1,0.12772388806105966,0.23445751412646695,0.38745565778374
Bubbles,Kim,2021-10-06T07:00:21Z,0.35277006197624944,0.8137832710812415,0.9998160180462964,0.10305999592008155,0.36517935867466694,0.7762885147332133
Bubbles,Kim,2022-07-19 11:00:37,0.3731076483725984,0.7251293014851313,0.9752582635799412,0.4815350793015903,0.6965063062590575,0.885680642572205
Bubbles,Patty,2022-05-11T21:00:44Z,0.39003750707856777,0.9209614242517288,1,0.4091437808380693,0.5611242547141625,0.7188335399653607
Caleb,Cali,2019-10-07T20:00:00Z,0.5829721572185149,0.948595099565053,1,0.41725372424686674,0.8453041611384516,0.9999025792762496
Caleb,Willow,2020-09-13 22:00:00,0.270238688932426,0.6158546797272263,0.935477195410476,0.3815917854596984,0.8870578895731083,0.9999999997840217
Cali,Kramer,2018-10-16 6:00:00,0.4507055933355492,0.8443969717145404,0.9996032088799394,0.2536407130451927,0.6152567172960867,0.9460035252908384
Chandler,Esme,2020-10-03 6:00:00,0.5457257123003108,0.946813553844601,1,0.2751512850743351,0.4339470554154973,0.6203662262481359
Chandler,Esme,2021-08-24 20:01:00,0.24913091072382212,0.45096579745290494,0.693009683818092,0.49808319397893447,0.6267567460543962,0.7536032638443451
Chandler,Gums,2018-10-18T06:00:00Z,0.15308229123627046,0.7312883875959795,0.9999876728283704,0.23528074536416577,0.9361434007257196,1
Chandler,Monica,2018-10-18T06:00:00Z,0.2927839747048693,0.5887820709400357,0.8844298755513113,0.188061088362824,0.8889083460458793,1
Chandler,Olson,2018-10-19T06:00:00Z,0.39607462096889334,0.8388533327354829,0.9999177863359666,0.08469276451869327,0.7272411818532863,0.9999999966777428
Chandler,Rachel,2021-06-05 2:00:38,0.18357616066232835,0.8249416813824609,0.9999999999985998,0.15116244456499028,0.3654487789962542,0.6706490414955768
Chandler,Stu,2020-10-03T06:00:00Z,0.3739432009909464,0.9311649270403904,1,0.3095525830946431,0.551227399896178,0.8085510895885023
Dan,Esme,2021-10-17 11:00:38,0.7546861897438156,0.924324293563639,0.997521151977231,0.23933305906522023,0.8760966544685297,1
Dan,EVGF84,2022-06-06T09:00:33Z,0.15902889717753813,0.5778388863697719,0.9741063584862966,0.14572569622214562,0.3402387643516438,0.6224613319010207
Esme,Stu,2022-06-15 21:00:36,0.2734037259325375,0.4946137188071742,0.7477206756744497,0.5095524353645323,0.670218800489807,0.8212577003748552
Gums,Monica,2019-09-26T00:00:00Z,0.17501546045881727,0.4359642799795482,0.7761094612524809,0.1309915032921945,0.3418105757382626,0.6583273307946159
Gums,Monica,2018-10-19 0:00:00,0.03973602790115061,0.7297422139357003,1,0.11601725691393444,0.2157591032550368,0.36153357225012595
Gums,Olson,2018-10-19T06:00:00Z,0.3057925096552215,0.5817237285185588,0.8620057790964389,0.2670022587296384,0.4600809712049654,0.687007849566607
Gums,Russ,2018-06-02 12:00:00,0.8147146499328912,0.9933433100618588,1,0.5728803150602473,0.9793186683267062,1
Jerry,Monica,2018-10-15T18:00:00Z,0.343698002330967,0.5246813914629782,0.720640100360848,0.1158538108824214,0.8887753902859761,1
Jerry,Olson,2018-10-17 6:00:00,0.32431393433560357,0.6065328377434415,0.8813643293886204,0.03785843240142785,0.30582670309018256,0.86212863477863
Laura,Olson,2017-05-25 6:00:00,0.2573567367096579,0.8836543166740606,1,0.4401369203826082,0.6878502100810178,0.9032335563458672
Monica,Olson,2018-10-18T18:00:00Z,0.41869207710660417,0.5934442704744031,0.7699309362984665,0.7189964794731085,0.8637442925312229,0.9636842568706394
Olson,Trish,2018-06-20 0:00:00,0.4556245120968342,0.8069773610342296,0.9943278147564492,0.04469274665294921,0.30580592248950716,0.8337154727169785
Phoebe,Trish,2017-10-11T00:00:00Z,0.2224844483795944,0.549679426173485,0.8982060819646028,0.3017176504159428,0.5575433778515857,0.8277292797158522
Polly,Tim,2020-11-04T01:00:00Z,0.6113607571521966,0.8268087444830926,0.9697599789937577,0.5855949745216662,0.9675534284986304,1
